,Close*OAS,Close*Price,Daily*OAS,Daily*Price,WTD*OAS,WTD*Price,MTD*OAS,MTD*Price,YTD*OAS,YTD*Price,OAD,YTD*XSRet,Mkt*Cap,6m*Min,6m*Max,6m*%tile,color
Natural Gas,153.1966153231834,116.17302155671476,-1.6906591085781597,-0.9633997150944112,-1.0427831811317103,-2.2376070159370443,1.6930573115297136,-0.5094791306211022,-15.169700019743773,16.429151410768142,15.73493845389895,398.3287660983215,0.008631614126625392,138.51949908671492,162.48016139430217,78.74015748031495,
Other Utilities,145.3734867168483,121.71083360685745,-1.1205840970767724,-1.0791819880752485,-0.35540076895793504,-2.3829172333519613,2.644012250693152,-0.6645344504672437,-1.9273651142707704,15.668393286360981,15.550058137064426,152.13428554760492,0.0024301216624382817,130.64403896339815,155.10979653269845,74.01574803149607,
Basics,214.3808975163198,121.18876204548643,-2.0433827800408717,-0.7634228849322682,-1.2523807683886898,-1.8809512800507235,4.5015397999562765,-0.6888529916638362,-21.86450008765007,15.868844959581395,13.15746925981129,513.6919379022431,0.035762054782568664,191.39251090777626,229.77603874024436,75.59055118110236,
Metals & Mining,216.54432927361395,125.84503901539087,-3.2175810725641725,-0.598886493564379,-3.8966102096253787,-1.4884100716203503,3.695522263033212,-0.513008565973891,-24.47810357916737,16.197054653264143,12.842747098013966,552.1816084689957,0.01526199974265344,197.7329790399944,242.22381309245637,58.267716535433074,
Capital Goods,162.59168346943719,117.14442602256644,-1.2458068365260715,-0.9341831945033618,-0.2644091152992871,-2.1946521437463677,5.145436665722173,-0.9226467407018362,-39.86374709750595,18.57922944639246,14.372983432541327,774.6477227617387,0.04827232111910163,148.10048323500263,177.08481531184063,54.33070866141733,
Communications,185.50015288303314,122.27486574424441,-2.2148402879103344,-0.7870073233525829,-2.804616700865552,-1.7546991690900882,3.956098699881807,-0.6963446990955902,-44.45244183897029,19.21138892342934,13.759054881084031,873.0914795630396,0.12475022129255404,168.99484008529234,203.997984548945,62.20472440944882,
Cable Satellite,193.47894791205047,121.10037415710238,-2.2948139208416194,-0.7780217532836673,-4.094678434234112,-1.5522014120532646,2.26998240892118,-0.4518461555789202,-41.13387700502625,19.532761507411124,13.911683146810761,808.5315231835887,0.030756281479048114,174.58502489758092,211.689623284945,59.842519685039385,
Media,178.7262892217886,125.90602623366871,-1.7292874795961095,-0.8615060201124578,-1.5261248395860894,-1.9878129898394548,4.172565726301144,-0.7115245117819882,-31.4910437709436,18.152535570560968,13.819161263004535,709.2443056689102,0.019594913595272056,167.81227718035103,193.91301810154496,57.48031496062992,
Wirelines/Wireless,183.9858213338893,121.80403589642931,-2.31051161420649,-0.7703965779328712,-2.618016717728807,-1.7744964075625802,4.586263065564083,-0.7924456898871313,-50.237158158118156,19.48612674012591,13.680128347215398,954.5946873632216,0.07439902621823387,166.956284973626,203.68566017811528,62.99212598425196,
Consumer Cyclical,170.2886346912135,119.34225600803958,-1.8990769824875715,-0.8840524239576409,-0.8633364287059067,-2.1128964086235134,5.5993391242333255,-1.055862338670735,-22.66912262799474,16.856488844952324,14.483453320041841,486.09123769391533,0.04223464011776381,149.46800862246388,181.4012605110669,79.52755905511812,
Autos,334.4072404845322,109.11157341345266,-2.958316195142686,-0.5202631732439045,2.105032867263276,-1.926053819130857,17.79755256101413,-2.2889682885028857,-5.709568624531414,10.302504260579296,11.932956257671833,338.66042073567695,0.007850635843001162,263.8014285999766,340.3912631611601,97.63779527559055,
Retailers,128.93113179150782,123.33902806708879,-1.8896720198296748,-0.9525273225632134,-1.7876934790567989,-2.1121893824495857,3.4297252972094303,-0.8302162099991791,-23.41524376183867,18.188820754845732,14.930920248995054,488.6128474445938,0.023579644434118027,114.22328727209934,143.3052633765557,63.77952755905512,
Consumer Non-Cyclical,168.85397096208226,118.38245343863576,-2.3414545498384034,-0.8122591309469271,-2.2259684173356793,-1.950883248562548,2.9960734515786958,-0.6546353396381903,-28.044281279927105,17.904674862700446,14.848731104169275,648.0699578839788,0.1612628246674195,153.15617911076097,185.36901498045856,60.62992125984253,
Food & Bev,176.41442595159734,118.04070205214417,-3.028160092913112,-0.677586333996004,-2.926770190558728,-1.8469882842521628,3.4028573455503017,-0.7797148391524047,-51.29415407364403,20.579190557985925,14.697530358781384,1045.8887804715844,0.044747792189810925,158.7039124539267,205.82898079630687,38.582677165354326,
Healthcare,167.2441857439929,117.82175771157236,-1.8009635386040657,-0.9479987936985309,-1.5592191012486296,-2.1563563453432413,2.456302630103778,-0.6349501149310015,-16.086538947058617,16.95017482984585,15.418765182883597,462.067623718796,0.04109639703853682,154.56190935348468,181.5760014502637,63.77952755905512,
Managed Care,187.3085671831577,115.39297740272652,-2.418667627733413,-0.7720115378236869,-1.7775192759201277,-1.9510001796961944,3.592919940222004,-0.7103874781405182,-2.6500539814632305,13.797323278616602,14.851474233785925,196.8043337337022,0.028074749750830744,167.58050458144282,202.16263944331672,74.01574803149607,
Pharma,145.11830085722474,120.6161952666379,-2.3705601962934963,-0.8246484135324863,-2.9760528242833857,-1.8346357673283933,1.5898309336227214,-0.38203083383868375,-21.558237596313973,17.472693907326985,14.863753885564034,519.5405653289174,0.05526707882841606,133.26072291855138,158.79013794269503,52.75590551181103,
Tobacco,257.7641034240733,109.02769971280055,-3.0753089601586794,-0.5705640075910878,0.21451275851006807,-1.9915055883513018,10.371107081749614,-1.6204536218952654,-27.778476595409533,15.714344974531839,13.954643815937343,680.9006588957468,0.01205393572073363,213.95703709533848,260.9071550703032,97.63779527559055,
Energy,225.67032987175492,118.60258157139546,-1.1607576323772548,-0.8891364991204682,2.828873537176463,-2.465819947358128,11.032797792746122,-1.6669648993352268,-21.01343206364089,15.517204484427323,13.278350886650667,483.8847953537884,0.09073241002969197,177.9447739703515,226.94537440772305,98.42519685039369,
Independent,239.8467508010176,119.69649478620093,-0.7800626817207501,-0.8796055453703815,4.666468723853541,-2.5192868286487453,13.709163561602821,-1.7747428691264702,-19.399470383204942,14.084858087403221,12.265571247021532,438.8638829087888,0.023388580905186168,169.29206907846543,240.62681348273838,98.42519685039369,
Integrated,146.34779579546586,122.45868853368755,-0.8018791718091336,-1.05569655882708,0.7755656785350311,-2.435831064210888,5.712463015498344,-1.0719159785645758,-27.702969751040683,18.68277584313614,14.336337804107664,551.0930656284187,0.015460953195157431,122.12212159352012,154.2588403261028,82.6771653543307,
