,Close*OAS,Close*Price,Daily*OAS,Daily*Price,WTD*OAS,WTD*Price,MTD*OAS,MTD*Price,YTD*OAS,YTD*Price,OAD,YTD*XSRet,Mkt*Cap,6m*Min,6m*Max,6m*%tile,color
Natural Gas,149.56627672235902,115.41544722894584,-3.6303386008243876,-0.7575743277689355,-4.673121781956098,-2.9951813437059798,-1.937281289294674,-1.2670534583900377,-18.80003862056816,15.671577082999207,15.676324332861897,453.63184978092,0.008617596345122052,138.51949908671492,162.48016139430217,52.75590551181102,blue
Other Utilities,140.76349054419478,121.10642848335188,-4.6099961726535525,-0.6044051235055861,-4.965396941611488,-2.987322356857547,-1.965983921960401,-1.2689395739728297,-6.537361286924323,15.063988162855395,15.502719221501753,226.27058068042328,0.0024302466843132814,130.64403896339817,155.10979653269843,37.00787401574803,blue
Basics,208.68610979053676,120.75455296636241,-5.694787725783044,-0.43420907912403095,-6.947168494171734,-2.3151603591747545,-1.1932479258267676,-1.1230620707878671,-27.559287813433116,15.434635880457364,13.128727711600611,591.478644362613,0.03581217282911192,191.39251090777623,229.77603874024433,49.60629921259843,blue
Metals & Mining,209.95386325037953,125.49380946919406,-6.590466023234427,-0.35122954619680513,-10.487076232859806,-1.8396396178171557,-2.8949437602012154,-0.8642381121706961,-31.068569602401794,15.845825107067341,12.819344853486935,639.5409107434635,0.015294356612841828,197.7329790399944,242.22381309245634,43.30708661417323,blue
Capital Goods,157.28902283779018,116.63181617019792,-5.302660631647001,-0.5126098523685272,-5.567069746946288,-2.7072619961148945,-0.15722396592482824,-1.4352565930703634,-45.16640772915295,18.066619594023933,14.333039475115132,850.23561546963,0.04830310389174618,148.10048323500263,177.08481531184063,22.83464566929134,blue
Communications,180.04281765114212,121.81957879976576,-5.457335231891022,-0.4552869444786438,-8.261951932756574,-2.209986113568732,-1.5012365320092158,-1.151631643574234,-49.90977707086131,18.756101978950696,13.727525132574108,950.8529079865258,0.1249150932823848,168.99484008529234,203.997984548945,38.582677165354326,blue
Cable Satellite,186.5617134133017,120.88445322051444,-6.917234498748769,-0.21592093658793488,-11.01191293298288,-1.7681223486411994,-4.647252089827589,-0.667767092166855,-48.05111150377502,19.31684057082319,13.891271026916032,912.9438900744868,0.030858371759443167,174.58502489758092,211.68962328494501,37.00787401574803,blue
Media,173.6535315856222,125.31551485344836,-5.072757636166386,-0.5905113802203346,-6.598882475752475,-2.5783243700597893,-0.9001919098652422,-1.3020358920023227,-36.56380140710999,17.562024190340637,13.779161591948352,777.8765795609987,0.019602310070865804,167.81227718035103,193.91301810154496,33.85826771653544,blue
Wirelines/Wireless,179.02316359946974,121.28674308228196,-4.962657734419594,-0.5172928141473676,-7.580674452148401,-2.291789221709948,-0.37639466885551087,-1.3097385040344989,-55.19981589253774,18.968833925978544,13.646064202979556,1023.6506243959309,0.07445441145207583,166.956284973626,203.68566017811528,37.79527559055118,blue
Consumer Cyclical,164.54453024722233,118.9002825105042,-5.744104443991176,-0.4419734975354004,-6.607440872697083,-2.5548699061589133,-0.14476531975785178,-1.4978358362061357,-28.413227071985915,16.414515347416923,14.449064662767835,575.3678472094404,0.0423075503557635,149.46800862246388,181.4012605110669,50.39370078740157,blue
Autos,323.9940510667865,109.29876353032041,-10.413189417745684,0.1871901168677539,-8.308156550482408,-1.738863702263103,7.384363143268445,-2.1017781716351323,-16.1227580422771,10.489694377447051,11.946413235844815,481.4432943157376,0.007910907778987123,263.8014285999766,340.3912631611601,94.48818897637796,blue
Retailers,123.93230519505522,122.75498325797385,-4.998826596452631,-0.5840448091149426,-6.786520075509429,-2.6962341915645283,-1.5691012992432007,-1.4142610191141216,-28.414070358291298,17.604775945730793,14.892544279567934,566.1650845582989,0.02358997664575708,114.22328727209934,143.30526337655567,34.645669291338585,blue
Consumer Non-Cyclical,163.91935266321127,117.83564295501574,-4.934618298870987,-0.546810483620007,-7.160586716206666,-2.4976937321825545,-1.9385448472922917,-1.2014458232581973,-32.97889957879809,17.35786437908044,14.804889406922113,721.9551364437083,0.161317842931043,153.15617911076095,185.36901498045856,25.196850393700785,blue
Food & Bev,171.359430071386,117.53039814468082,-5.054995880211322,-0.5103039074633529,-7.98176607077005,-2.3572921917155156,-1.6521385346610202,-1.2900187466157575,-56.349149953855346,20.068886650522572,14.654897269710723,1119.1181462292432,0.044772089055266,158.70391245392673,205.82898079630692,16.535433070866144,blue
Healthcare,162.82595195970595,117.20212655972861,-4.418233784286912,-0.6196311518437341,-5.977452885535541,-2.775987497186975,-1.9619311541831337,-1.2545812667747356,-20.504772731345525,16.330543678002115,15.364660291763075,530.2554221520084,0.04108196343843568,154.5619093534847,181.57600145026373,25.196850393700785,blue
Managed Care,182.20864087668306,114.89262795303777,-5.0999263064746,-0.5003494496887555,-6.877445582394728,-2.45134962938495,-1.5070063662525968,-1.2107369278292737,-7.749980287937831,13.296973828927847,14.808522022912012,274.69024983051816,0.02809060837402868,167.5805045814428,202.16263944331672,51.96850393700787,blue
Pharma,140.27880463691494,120.02522345072911,-4.839496220309826,-0.5909718159087873,-7.815549044593212,-2.4256075832371806,-3.2496652866871045,-0.9730026497474711,-26.3977338166238,16.881722091418197,14.821700123712521,591.985494192937,0.055270064092457494,133.26072291855138,158.79013794269503,23.62204724409449,blue
Tobacco,249.7434616483763,109.00559301341444,-8.020641775696959,-0.022106699386128525,-7.8061290171868905,-2.0136122877374305,2.350465306052655,-1.642560321281394,-35.79911837110649,15.692238275145712,13.93910033998987,800.1187194143133,0.012108136044065377,213.95703709533848,260.9071550703032,85.03937007874016,blue
Energy,219.47477566399783,118.26193337577043,-6.195554207757056,-0.340648195625036,-3.3666806705805925,-2.8064681429831637,4.837243584989068,-2.007613094960263,-27.208986271397947,15.176556288802288,13.254458869379285,571.100426917337,0.09092466962620978,177.9447739703515,226.94537440772302,84.25196850393701,blue
Independent,233.78063324201813,119.32528418143174,-6.066117558999451,-0.3712106047691748,-1.3996488351459107,-2.89049743341792,7.64304600260337,-2.145953473895645,-25.465587942204394,13.713647482634045,12.244430376375757,517.7759836806883,0.02343227870596059,169.29206907846543,240.62681348273833,92.1259842519685,blue
Integrated,140.23538080895696,122.11299418364501,-6.112414986508867,-0.34569435004252114,-5.336849307973836,-2.7815254142534087,-0.39995197101052327,-1.417610328607097,-33.81538473754955,18.33708149309362,14.304053032731659,641.0361778727291,0.015487757486184488,122.12212159352012,154.2588403261028,58.26771653543307,blue
Oil Field Services,221.32417023830527,113.64204650204373,-5.783756017188722,-0.4664839271541723,-4.829003289479061,-2.6633871399430973,0.2596078165273923,-1.407711903566124,-11.83391652997068,13.161575531056641,13.764631404832027,378.94965053534514,0.004670432948461452,177.47786137611243,244.34429457340582,63.77952755905512,blue
Refining,209.31912287753886,122.23289893118928,-4.276972726971593,-0.6696117987627872,-3.996688122766699,-2.812916434104892,1.950716524283763,-1.6525521575974835,-41.81413360659667,17.998220115253957,13.040089516473742,781.5856882358463,0.005179077743954886,174.71120636198478,221.46962437677143,66.92913385826772,
Midstream,241.67803519841598,116.27996557872986,-6.607719300874379,-0.26420821117480386,-3.4636899509996226,-2.783553600387293,6.268326724412844,-2.26322979309991,-24.756779783318535,14.728386299039087,13.40008573070685,558.8915076897716,0.042155122741648364,203.00438829953129,250.04568406923528,86.61417322834646,blue
Industrial Other,125.81650974589984,119.67648635883877,-4.489805014859186,-0.6168314793926868,-4.866077776471613,-2.9952777618983646,-0.2406312527240999,-1.526476596656039,-16.926263062427736,15.465304386568775,15.077694827130392,373.0797134004815,0.0017634194385634093,119.48031691436728,140.78293015001623,31.496062992125985,blue
Universities,96.69234028393262,124.08606319104459,-1.0681589284216102,-1.2615835607483206,-1.3424663404877464,-4.852616669176598,-0.28695419230857055,-2.390628900515921,-13.023444362949675,20.31607372235314,19.92230578884365,385.6155563928043,0.006953318487587711,91.85568651607944,100.7261930869579,60.629921259842526,
Technology,127.16495611569742,119.4615694461348,-4.639505172246444,-0.6064034680923953,-6.633428296707805,-2.725991696241209,-2.2499542936084964,-1.2345844218311015,-30.288224215075118,17.88476780091503,15.375116166808251,620.7398085772464,0.06938298152908136,118.2717507508559,147.52619173894402,29.92125984251969,blue
Transportation,147.42964770759528,115.70951625983564,-4.513822917045246,-0.5863434153766036,-5.363581543955263,-2.9259714420846876,-0.41300989159216783,-1.577577579625867,-16.685293369078863,15.43998334183263,15.492068087705626,370.9310409142064,0.03150814765279833,129.49440617538366,155.48554284827148,70.86614173228347,blue
"Gov Owned, No Guar",400.6529084722154,106.76714806316768,-7.4557986977652035,-0.18346699690836488,-13.33089069085787,-1.1773477764549085,14.304357334622921,-1.0735021736382038,4.832218297512782,12.690606936920446,11.97067413498297,842.07457075828,0.019909777765729046,335.22728080145316,416.14638453459,94.48818897637796,
Gov Guarantee,28.545917398140343,76.44196667886054,-1.3786300077303615,-0.8660562379396595,-5.337027890681011,-1.9555543601961176,-4.034571899037548,-0.6112803651240313,-22.948548358052907,12.953391725440895,15.036117012932063,504.6325424671339,0.001585167020804607,27.759001204784052,36.93733496443712,1.574803149606299,
Munis,129.56511412122293,137.18429915283102,-0.06449656383978208,-1.3949969628891665,1.046972893533649,-3.8731469884230307,2.8320668666041087,-1.8320224840768446,-12.628103321818827,14.411452300012726,12.21141937682815,296.17532625700215,0.05626808853190961,117.42980669247073,129.99478150884158,97.63779527559055,
Sovereigns,152.72516160636533,127.69032698463255,-4.513887158947881,-0.7355146816023819,-10.88460256814551,-2.025031946709703,-8.731907043538968,-0.04432544883796652,-47.3864950331008,18.608882278154326,13.953529106156383,887.4326754095297,0.04911884931396522,144.9474143844463,183.21078825139972,20.47244094488189,
Supranational,23.1593023757761,121.91699246287052,-2.1340122219803135,-1.10854545697552,-1.8768186698761475,-3.4996404856317724,1.310332001112073,-1.4662033086845554,-6.948720121132151,14.12534151323294,13.135243789864813,149.60954059844101,0.002114368248926598,19.804929030135145,28.394695740589857,19.68503937007874,blue
Banks,153.97986487407115,123.6352779546246,-6.056640524411279,-0.39323031073197967,-6.892278885119623,-2.446797826400541,-1.6330315183077744,-1.1287106475937065,-49.51664296683953,18.346253932322895,13.010910327258493,855.1065218750442,0.08492065064502446,139.7509535439873,170.44160805954067,51.96850393700787,blue
US SIFI Banks (Sr),135.9999535442359,121.40338207135815,-5.511308719441445,-0.4168785242581379,-5.771720963153172,-2.619775077310436,-1.1540644578535932,-1.1979684051718351,-48.21831087994502,17.87020204806636,13.408287763480597,816.9006752738661,0.02933081884437398,120.84048668647634,153.27732883555552,55.118110236220474,blue
US SIFI Banks (Sub),178.33295441980394,129.0472569625589,-6.151697062351275,-0.4138462095119735,-7.3390813256255,-2.4722715774133235,-2.741735458103534,-0.9996031023702017,-52.997966994807484,20.09103257090638,13.21667028007082,950.436214865571,0.0199674665449101,160.34124253811217,193.83905348918293,60.629921259842526,blue
US Regional Banks,162.3516429453426,125.85704236179892,-5.742350876590962,-0.45677931086059687,-6.511391548674595,-2.6173666858167195,-3.1578593656537066,-0.911131685004051,-39.16777378422353,18.004142145837392,13.70806529928285,746.3360675847963,0.014156541547973274,147.34237512054628,176.43224332295063,63.77952755905512,blue
Brokers/AssetMngr,186.64390948157973,116.41155659165757,-5.044946570944575,-0.4948356082296641,-5.382175399952644,-2.679479936245258,1.0438825898025925,-1.4592164106681054,-30.358714700487297,15.781161451753576,14.604811124538962,612.4921690518125,0.0035701858025162674,172.00763111009698,202.99980571651955,48.818897637795274,blue
Fin. Companies,223.5805886634528,105.59960195385925,-9.80746848435075,0.009504949714582267,-8.311989195641786,-1.7964573485517832,2.407510730137716,-1.2909590448230688,-91.02275242604046,20.47617144480003,11.50344584841128,1462.3336603113369,0.005259311221487116,216.4063917364277,268.6745611697604,10.236220472440944,
Life,177.0653433367001,120.13908056832962,-4.2241718636499,-0.6632307284303636,-6.370359845616491,-2.540624013678297,-0.7416158450637909,-1.2964017848545097,-40.403762947070106,17.607539500218365,13.869342535100698,751.0873510367367,0.017510308898924604,160.19541109672278,188.3218188523254,51.96850393700787,blue
P&C,137.95449641180528,122.63050020765886,-4.097721480151364,-0.707225200486846,-4.753391489104189,-3.0195949640369975,-0.8755748063181272,-1.451290300108795,-24.982741092208414,16.965582424294155,14.991529388061743,487.39182890123357,0.01964361958463851,126.29873322504879,150.4859990421173,48.818897637795274,blue
REITs,144.2132156047155,110.66574466082432,-2.9425606088258007,-0.7787094724717036,-4.569446602937717,-2.6800988955536837,-1.6760726450207528,-1.1217006948176191,-28.564208705060594,16.78687163828573,13.31573974959797,579.1063450067346,0.010641241799494773,135.27382763980037,154.2715510939305,41.732283464566926,blue
