Issuer Name,Ticker,Default Date,ISIN
Sears Holdings Corp,SHLD,10/15/2018,US812350AE65
Nuoxi Capital Ltd,HKJHCC,4/23/2020,XS1981973941
Reward International Investment Ltd,RWINTL,12/6/2018,XS1526054637
European TopSoho Sarl,EUTOSO,10/14/2021,XS1882680645
Oceanwide Holdings International Development III Co Ltd,FANHAI,5/23/2021,XS1995111736
Lebanon Government International Bond,LEBAN,3/18/2020,XS0859366899
China Huiyuan Juice Group Ltd,CHIHUI,3/17/2020,XS1662453544
Ultra Resources Inc/US,UPL,5/14/2020,US90400GAE17
Samarco Mineracao SA,SAMMIN,12/1/2016,US79586KAA97
JC Penney Corp Inc,JCP,5/15/2020,US708160CD64
Nuoxi Capital Ltd,HKJHCC,8/4/2020,XS1918227817
Hertz Corp/The,HTZ,5/22/2020,US428040CN71
Galapagos SA/Luxembourg,GALAPG,7/17/2019,XS1071419524
Yango Cayman Investment Ltd,YANGOG,3/6/2022,XS2369829473
Banco Espirito Santo SA,BESPL,7/22/2016,PTBEQJOM0012
Chongqing Energy Investment Group Co Ltd,CHQENE,11/8/2021,XS1955255283
MIE Holdings Corp,MIEHOL,5/11/2020,XS1960218250
Tahoe Group Global Co Ltd,THHTGP,8/16/2020,XS1725031105
EA Partners II BV,EAPART,3/6/2019,XS1423779187
Yihua Overseas Investment Ltd,YIHUGR,5/23/2020,XS1695598562
Hertz Corp/The,HTZ,5/22/2020,US428040BJ78
Glory Land Co Ltd,GUOPRO,2/27/2022,XS1932655613
Air Berlin PLC,AIRBR,8/15/2017,XS1051719786
Zhongrong International Resources Co Ltd,SDCOKI,5/26/2020,XS1692251413
Stichting Afwikkeling Onderhandse Schulden SNS REAAL,SNSBNK,11/12/2013,XS0310904155
EYEMAXX Real Estate AG,BNTGR,12/20/2021,DE000A2GSSP3
Lebanon Government International Bond,LEBAN,3/18/2020,XS1720803326
Nuoxi Capital Ltd,HKJHCC,7/1/2020,XS2016149614
CBL & Associates LP,CBL,7/1/2020,US12505JAA16
Hertz Corp/The,HTZ,5/22/2020,US428040CY37
Banco Espirito Santo SA,BESPL,7/22/2016,PTBENJOM0015
Qinghai Provincial Investment Group Co Ltd,QHINVG,1/10/2020,XS1613685475
Thomas Cook Finance 2 PLC,TCGLN,9/23/2019,XS1733231663
Stichting Afwikkeling Onderhandse Schulden SNS REAAL,SNSBNK,11/12/2013,XS0552743048
Venezuela Government International Bond,VENZ,3/15/2018,US922646AT10
Washington Mutual Bank / Debt not acquired by JPMorgan,WAMU,1/14/2009,US93933WAA45
Venezuela Government International Bond,VENZ,1/1/2018,USP97475AD26
Deutsche Lichtmiete AG,DTLICH,1/5/2022,DE000A2TSCP0
Lebanon Government International Bond,LEBAN,3/18/2020,XS1419879686
Astaldi SpA,ASTIM,1/1/2019,XS1000393899
Top Wise Excellence Enterprise Co Ltd,KANGDE,4/16/2019,XS1522916805
Lebanon Government International Bond,LEBAN,3/18/2020,XS1052421150
Chesapeake Energy Corp,CHK,6/28/2020,US165167CY16
JC Penney Corp Inc,JCP,5/15/2020,US708130AC31
Lebanon Government International Bond,LEBAN,3/18/2020,XS1419879504
Lebanon Government International Bond,LEBAN,3/18/2020,XS1419879769
Lehman Brothers UK Capital Funding III LP,LEH,2/23/2009,XS0229269856
China Energy Reserve and Chemicals Group International Co Ltd,CERCG,5/25/2018,XS1328315723
Lebanon Government International Bond,LEBAN,3/18/2020,XS1196417569
House of Fraser Funding PLC,HOUSF,11/9/2018,XS1266139895
Stoneway Capital Corp,STNEWY,3/6/2020,US86188PAA57
ION Geophysical Corp,IO,1/14/2022,US462044AH19
International Industrial Bank JSC Via IIB Luxembourg SA,IIBRU,10/5/2010,XS0485927163
Deutsche Lichtmiete Finanzierungsgesellschaft mbH,DLICHT,1/5/2022,DE000A2G9JL5
Nuoxi Capital Ltd,HKJHCC,7/31/2020,XS1751788727
Oldapco Inc,APPPAP,10/1/2017,US03834LAA70
Quorum Health Corp,QHC,4/7/2020,US74909EAC03
Aegean Marine Petroleum Network Inc,ANW,11/6/2018,US00773VAB27
Hellas Telecommunications Luxembourg II SCA,HELLAS,11/16/2009,US88706QAA22
NMC Health Jersey Ltd,NMCLN,4/29/2020,XS1814568413
Gulfport Energy Operating Corp,GPOR,11/14/2020,US402635AH93
Dean Foods Co,DF,11/12/2019,US242370AD62
Severstal OAO Via Steel Capital SA,CHMFRU,3/23/2022,US85805RAE80
CA La Electricidad de Caracas,ELECAR,11/10/2017,XS0356521160
Deutsche Lichtmiete AG,DTLICH,1/5/2022,DE000A2NB9P4
Lehman Brothers Holdings Inc,LEH,9/15/2008,XS0362467150
Yuksel Insaat AS,YUKSEL,12/10/2015,XS0558618384
Deutsche Lichtmiete AG,DTLICH,1/5/2022,DE000A3H2UH3
Mesquite Energy Inc,SNEC,8/11/2019,US79970YAB11
Debenhams PLC,DEBLN,4/9/2019,XS1081972850
Polarcus Ltd,PLCSNO,1/26/2021,NO0010607435
Agrokor dd,AGROK,5/31/2017,XS0776111188
Hertz Corp/The,HTZ,5/22/2020,US428040CZ02
CBL & Associates LP,CBL,11/14/2020,US12505JAB98
EYEMAXX Real Estate AG,BNTGR,12/20/2021,DE000A289PZ4
EA Partners I BV,EAPART,3/31/2019,XS1293573397
Intelsat Luxembourg SA,INTEL,5/13/2020,US458204AQ79
China Energy Reserve and Chemicals Group Overseas Capital Co Ltd,CERCG,5/11/2018,XS1227680409
International Industrial Bank JSC Via IIB Luxembourg SA,IIBRU,10/5/2010,XS0309114311
Galapagos SA/Luxembourg,GALAPG,7/17/2019,XS1071411547
Stichting Afwikkeling Onderhandse Schulden SNS REAAL,SNSBNK,11/12/2013,XS0468954523
Chesapeake Energy Corp,CHK,6/28/2020,US165167DB04
ACN 113 874 712 Pty Ltd,ATIAU,3/17/2014,US59841RAA77
ESFG International Ltd,ESF,10/28/2014,XS0303426661
Mesquite Energy Inc,SNEC,8/11/2019,US79970YAE59
Samarco Mineracao SA,SAMMIN,11/23/2016,US79586KAC53
B15 Finco LTD,BRIGHH,3/30/2020,XS1742761700
Washington Mutual Bank / Debt not acquired by JPMorgan,WAMU,2/14/2009,US93933WAC01
Intelsat Luxembourg SA,INTEL,5/13/2020,US458204AP96
Windstream Services LLC / Windstream Finance Corp,WIN,2/25/2019,US97381WAZ77
Hertz Corp/The,HTZ,5/22/2020,US428040CS68
REXLot Holdings Ltd,REXLOT,2/27/2017,XS1057356773
GNC Holdings Inc,GNC,6/23/2020,US36191GAB32
Qinghai Provincial Investment Group Co Ltd,QHINVG,2/22/2020,XS1552613660
Intelsat Jackson Holdings SA,INTEL,5/13/2020,US45824TAR68
Gulfport Energy Operating Corp,GPOR,11/13/2020,US402635AL06
Lehman Brothers Holdings Inc,LEH,9/15/2008,US5252M0BZ91
Waterford Gaming LLC / Waterford Gaming Financial Corp,WATERF,3/15/2015,US941388AH32
GenOn Energy Inc,GENONE,6/14/2017,US74971XAC11
Lebanon Government International Bond,LEBAN,3/18/2020,XS0944226637
Lehman Brothers UK Capital Funding LP,LEH,2/23/2009,XS0215349357
Alta Mesa Holdings LP / Alta Mesa Finance Services Corp,ALTMES,9/11/2019,US021332AF81
Lehman Brothers Holdings Inc,LEH,9/15/2008,US52519FCX78
Lebanon Government International Bond,LEBAN,3/18/2020,XS1824238239
Lebanon Government International Bond,LEBAN,3/18/2020,XS1720805537
WD Invest Sarl,WDIGR,6/25/2020,DE000A2R76L7
Lebanon Government International Bond,LEBAN,3/18/2020,XS1313654623
Carlson Travel Inc,CARLTV,7/15/2021,US14282LAF04
24 Hour Fitness Worldwide Inc,HRFITW,7/1/2020,US90132BAA52
Tahoe Group Global Co Ltd,THHTGP,9/11/2020,XS2052134140
Espirito Santo Financial Group SA,ESF,10/9/2014,XS0717615099
Lehman Brothers Holdings Inc,LEH,9/15/2008,XS0205185456
ATP Oil & Gas Corp/United States,ATPG,12/1/2012,US00208JAE82
Tunghsu Venus Holdings Ltd,DONGXU,6/12/2020,XS1627203331
GWG Holdings Inc,GWGH,4/20/2022,US36250CFV19
Washington Mutual Bank / Debt not acquired by JPMorgan,WAMU,1/10/2009,XS0277432182
JC Penney Corp Inc,JCP,5/15/2020,US708160BL99
iHeartCommunications Inc,IHRT,3/3/2018,US184502BQ46
Vantage Drilling Co,VTGDF,12/3/2015,US92209XAA19
Banco Espirito Santo SA,BESPL,7/22/2016,XS0171467854
Bon-Ton Department Stores Inc/The,BONT,1/15/2018,US09776NAF96
Swissport Investments SA,SWPORT,7/15/2021,XS1331156684
Lehman Brothers Holdings Inc,LEH,9/15/2008,US52517PVU29
Bank Nadra Via NDR Finance PLC,NADRA,2/10/2010,XS0307202530
Asya Sukuk Co Ltd,ASYAKA,10/28/2016,XS0907295942
FF Group Finance Luxembourg II SA,FFGRPG,11/6/2018,CH0385518052
Tianjin Real Estate Group Co Ltd,TJREDM,9/29/2020,XS1688550950
China Fortune Land Development Co Ltd,CHFOTN,2/27/2021,CND1000144Z4
Frontier Communications Corp,FTR,5/15/2020,US35906AAZ12
Hyflux Ltd,HYFSP,9/14/2018,SG6Q70974010
Haikou Meilan International Airport Co Ltd,MEILAN,9/20/2019,XS1485001348
Century Sunshine Group Holdings Ltd,CENSUN,7/3/2020,SG7CG8000008
Wise Source International Ltd,CEFCIG,5/21/2018,XS1508951891
Alitalia-Societa Aerea Italiana SpA,ALITSA,5/2/2017,XS1263964576
Yestar Healthcare Holdings Co Ltd,YESTAR,9/15/2021,XS1485533944
Basic Energy Services Inc,BASX,5/15/2021,US06985PAN06
Portugal Telecom International Finance BV,OIBRBZ,6/20/2016,PTPTCYOM0008
Banca Popolare di Vicenza,VICEN,6/25/2017,XS1300456420
Jain International Trading BV,JIIN,3/4/2020,XS1555346995
Washington Mutual Bank / Debt not acquired by JPMorgan,WAMU,3/15/2009,US93933WAB28
Lehman Brothers Holdings Inc,LEH,9/15/2008,US524908R366
