,B_0,B_1,B_2,B_3,Tau_1,Tau_2,KRD_0.5,KRD_2,KRD_5,KRD_10,KRD_20,KRD_30,c_0.5,c_2,c_5,c_10,c_20,c_30,tret_0.5,tret_2,tret_5,tret_10,tret_20,tret_30,tret_cash
2018-03-22,0.034062425,-0.017274654,0.010758911,-0.013348809,2.482413813,5.495924271,0.5,1.966131015,4.714419609,8.769581543,15.14184513,19.63320181,0.94408646,1.148224548,1.324260779,1.4146017119999998,1.492228346,1.53656521,-6.28e-05,0.000587792,0.003099862,0.006486103000000001,0.010126525,0.011888713,4.47e-05
2018-03-23,0.034114308,-0.017310119,0.009375464,-0.012483542,2.5,5.5,0.5,1.966448119,4.71637097,8.770726382000001,15.13114198,19.61116534,0.940020416,1.137341976,1.314731314,1.412487452,1.494915195,1.539694026,9.63e-05,0.0004962440000000001,0.000971919,0.000451406,-0.000726603,-0.001148356,4.6e-05
2018-03-26,0.033946126,-0.017103083999999998,0.010365946,-0.01262431,2.462565736,5.464619118,0.5,1.96606363,4.713848414,8.766750064,15.13522139,19.63014184,0.946665668,1.150555506,1.327024327,1.41812134,1.49485006,1.5377928019999998,0.000103678,-0.00029466,-0.000906994,-0.000733805,0.000278442,0.001012895,0.00013841
2018-03-27,0.033625142000000004,-0.01656634,0.009701225,-0.013141532,2.5,5.325927202,0.5,1.966507871,4.719340662,8.787771654,15.19206136,19.72348659,0.948504848,1.135404698,1.300786866,1.391787313,1.47288982,1.517709725,3.8e-05,0.000661737,0.002534569,0.004680254,0.006756045,0.00806326,4.620000000000001e-05
2018-03-28,0.033501502999999995,-0.016322193000000002,0.009556445,-0.013391082,2.428303473,5.420606792999999,0.5,1.966293066,4.718997881,8.792169571,15.21672666,19.76926386,0.955933536,1.14283282,1.302667274,1.386929361,1.464739384,1.5094795630000002,-1.6899999999999994e-05,-0.000217294,-9.73e-05,0.000929169,0.002563283,0.0033610890000000003,4.68e-05
2018-03-29,0.032990287,-0.015884278999999998,0.009698819,-0.013278416,2.446939994,5.467672736,0.5,1.966567634,4.721862259,8.806449016,15.27551258,19.88569247,0.950394711,1.133393312,1.2889247,1.369324856,1.443724329,1.487395486,0.000111148,0.000438854,0.0013642729999999998,0.003158764,0.00649623,0.008919956,4.71e-05
2018-03-30,0.032977171,-0.016064765,0.011555168,-0.014364704,2.484991908,5.248036636,0.5,1.966553241,4.721330536,8.805936236,15.27452062,19.88208865,0.944472716,1.133819408,1.2914119590000002,1.370054885,1.4441973680000002,1.48811619,0.000114805,5.4899999999999986e-05,-0.00015513,-4.820000000000001e-05,-6.07e-05,-0.000203568,4.69e-05
2018-04-02,0.033126803,-0.016109341,0.00894136,-0.013373768,2.415679547,5.498377675,0.5,1.966775166,4.723340981000001,8.809955343,15.2762443,19.87652767,0.944932689,1.126243705,1.281747532,1.3646883440000002,1.442662879,1.487962719,0.000163126,0.000507401,0.001137348,0.001177889,0.000719604,0.00031594,0.000139298
2018-04-03,0.033696421000000004,-0.016722979,0.011111988,-0.014527051,2.475209672,5.5,0.5,1.96621165,4.717630505,8.789460557,15.21447521,19.75889915,0.950220557,1.1455488459999998,1.309149655,1.390498479,1.4660724319999998,1.511701282,4.2000000000000004e-06,-0.000679239,-0.002484249,-0.004424937,-0.007030516999999999,-0.009355481,4.67e-05
2018-04-04,0.033711643,-0.016537123,0.011333774,-0.014694738,2.497998678,5.273850507,0.5,1.966131861,4.717554686000001,8.787617808,15.19973576,19.73102377,0.957760768,1.14836096,1.3096210190000002,1.39274294,1.471039512,1.516760451,-1.7800000000000002e-05,-3.71e-05,3.4899999999999995e-05,-0.000310781,-0.001423537,-0.001923485,4.650000000000001e-05
2018-04-05,0.03432294,-0.017075536000000002,0.01086449,-0.014541314,2.491569284,5.4647901060000015,0.5,1.965806313,4.713936517,8.770895507,15.13990428,19.61407637,0.96363023,1.159547586,1.326973767,1.413489666,1.492976584,1.539602335,-8.39e-07,-0.000362113,-0.001541542,-0.0035323,-0.006551515999999999,-0.008935700000000001,4.71e-05
2018-04-06,0.033837283,-0.016817579,0.010612535,-0.014915974,2.481564203,5.488832975,0.5,1.966382611,4.719318742,8.794124087,15.2177343,19.75233106,0.949580055,1.139701479,1.301041696,1.3844820530000002,1.464040175,1.5116118980000002,0.000195595,0.000844782,0.002505195,0.005147839,0.008887305,0.011225448,4.73e-05
2018-04-09,0.033866221,-0.01683272,0.011985542,-0.015802931,2.5,5.494679003,0.5,1.966116071,4.7175312830000005,8.79187713,15.22134595,19.7592861,0.953679971,1.148856214,1.309738968,1.387784326,1.463666022,1.511120404,0.000129603,-0.000138762,-0.000577309,-0.0003356,0.000368608,0.000454497,0.000140179
2018-04-10,0.033580397000000005,-0.016463551,0.012901484,-0.015548343,2.47240432,5.361233617,0.5,1.96576122,4.71526472,8.787480913,15.22190186,19.77733148,0.961322723,1.161072548,1.320800859,1.39380021,1.464687885,1.509495751,-1.84e-05,-0.000402144,-0.00095491,-0.000969053,-0.000225797,0.0007322339999999999,4.67e-05
2018-04-11,0.033573811,-0.016402673,0.012474557,-0.015518298,2.474467896,5.499964886,0.5,1.965796381,4.715879785,8.790799257,15.23583872,19.80091045,0.962645163,1.159886463,1.317882586,1.38974321,1.4597289569999998,1.504878091,4.4299999999999986e-05,0.000119357,0.000351645,0.0007878439999999999,0.001592458,0.001924812,4.69e-05
2018-04-12,0.033851558,-0.01671776,0.014195644,-0.015934353999999998,2.5,5.499582375,0.5,1.965274022,4.71068003,8.772875503,15.18936809,19.72307504,0.967719166,1.177796451,1.342897355,1.4124762169999998,1.477970183,1.521749915,7.71e-06,-0.000622148,-0.002255435,-0.003876423,-0.005441045,-0.006600395,4.71e-05
2018-04-13,0.033837743,-0.016347489,0.014118489,-0.016314547,2.487521921,5.4207290110000015,0.5,1.965025919,4.710453469,8.774745517000001,15.1942006,19.72868666,0.982955423,1.186462082,1.344308962,1.410575254,1.476410211,1.52064835,-9.22e-05,-0.00026226900000000003,-5.18e-05,0.000411572,0.000557905,0.000523302,4.7e-05
2018-04-16,0.033725103,-0.016025999,0.014030786000000002,-0.016018698999999997,2.5,5.5,0.5,1.964839263,4.709634176000001,8.773739555,15.2007591,19.74847293,0.992081374,1.1929530940000002,1.348409584,1.4121409619999998,1.474733457,1.517773615,8.669999999999999e-05,-2.7399999999999995e-05,-0.00014256700000000002,-3.09e-05,0.000762962,0.001399341,0.000144077
2018-04-17,0.03324679,-0.015511378,0.014473603,-0.015980994,2.45248354,5.4819752070000005,0.5,1.964713337,4.710052576,8.782355608,15.24666727,19.84453949,0.995818061,1.197311823,1.3466129919999998,1.402059221,1.459109885,1.500446446,2.24e-05,-9.43e-05,0.000247039,0.001834734,0.004828388,0.006983784,4.85e-05
2018-04-18,0.033415951,-0.015437386,0.014615345,-0.0148704,2.435452701,5.346106077,0.5,1.964113909,4.7047478830000005,8.760048872,15.17686909,19.73381358,1.010901388,1.2179955,1.372295405,1.430096474,1.485444807,1.5238495680000002,-8.9e-05,-0.0007274369999999999,-0.0023126270000000003,-0.004787588,-0.007872492,-0.009169707,4.86e-05
2018-04-19,0.034060882,-0.016120206,0.013432255,-0.01388545,2.425108877,5.439247065,0.5,1.963986732,4.701612328,8.739565061,15.09399205,19.57754923,1.010159458,1.222328664,1.387175927,1.455067235,1.5151404169999998,1.554021545,6.77e-05,-9.12e-05,-0.00130357,-0.0042451220000000005,-0.008843112,-0.011757667,4.93e-05
