TradeDate,1D,5D,2W,3W,1M,2M,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,20Y,21Y,22Y,23Y,24Y,25Y,26Y,27Y,28Y,29Y,30Y,31Y,32Y,33Y,34Y,35Y,36Y,37Y,38Y,39Y,40Y
4-Feb-19,0.02534635,0.02488551,0.02477197,0.0250622,0.02544323,0.02623811,0.02649246,0.0266453,0.0268302,0.02647371,0.02604995,0.02590513,0.02599095,0.02621156,0.0264496,0.02675157,0.02705321,0.027353,0.02761959,0.02788606,0.02804734,0.02820804,0.02836875,0.02843479,0.02850029,0.0285658,0.0286313,0.02869681,0.02869338,0.02868936,0.02868534,0.02868131,0.02867729,0.02865995,0.02864246,0.02862496,0.02860747,0.02858998,0.02854566,0.02850106,0.02845646,0.02841185,0.02836725,0.02832265,0.02827805,0.02823344,0.02818884,0.02814424
5-Feb-19,0.02433255,0.02453479,0.02469197,0.02499989,0.02540008,0.02608191,0.026364,0.02663099,0.02681607,0.02635258,0.0258757,0.02570455,0.02578246,0.02598362,0.02623199,0.02651596,0.02681265,0.02711787,0.02739051,0.02766303,0.02782839,0.02799318,0.02815797,0.02822291,0.02828728,0.02835166,0.02841604,0.02848041,0.02847831,0.02847586,0.02847341,0.02847097,0.02846852,0.0284541,0.02843958,0.02842506,0.02841054,0.02839602,0.02835005,0.02830382,0.02825758,0.02821135,0.02816511,0.02811887,0.02807264,0.0280264,0.02798017,0.02793393
6-Feb-19,0.02412972,0.0244739,0.02468439,0.02499416,0.02539599,0.02602795,0.02633431,0.02666291,0.02683743,0.02628331,0.02575848,0.02557286,0.025641,0.02585155,0.02610788,0.02640825,0.02672586,0.02704199,0.02731921,0.02759627,0.02776633,0.02793521,0.02810409,0.02817251,0.02824036,0.02830822,0.02837608,0.02844394,0.02844555,0.02844682,0.02844808,0.02844935,0.02845061,0.02843578,0.02842087,0.02840597,0.02839106,0.02837615,0.02833045,0.02828457,0.0282387,0.02819283,0.02814695,0.02810108,0.02805521,0.02800934,0.02796346,0.02791759
7-Feb-19,0.02453523,0.0247684,0.02463622,0.02493856,0.02534168,0.02602299,0.02625551,0.02647573,0.0266175,0.02598409,0.0254539,0.02525987,0.02531116,0.02551995,0.02576235,0.02605978,0.0263649,0.02667859,0.02695922,0.02723952,0.02741211,0.02758348,0.02775486,0.02782537,0.0278942,0.02796303,0.02803186,0.02810069,0.02810258,0.02810375,0.02810492,0.02810608,0.02810725,0.0280939,0.02808039,0.02806687,0.02805336,0.02803984,0.02799495,0.02794969,0.02790444,0.02785918,0.02781393,0.02776868,0.02772342,0.02767817,0.02763291,0.02758766
8-Feb-19,0.02483777,0.02480936,0.0246743,0.02491805,0.02524306,0.02584235,0.02610482,0.02634049,0.02646641,0.02579789,0.02525427,0.02505684,0.02512106,0.02532532,0.02556318,0.02586129,0.02616491,0.02648183,0.02675929,0.02703643,0.02721133,0.02738508,0.02755883,0.02762897,0.0276977,0.02776642,0.02783514,0.02790387,0.02790631,0.02790763,0.02790896,0.02791028,0.02791161,0.02789698,0.02788218,0.02786738,0.02785257,0.02783777,0.02779511,0.02775214,0.02770917,0.02766621,0.02762324,0.02758028,0.02753731,0.02749434,0.02745138,0.02740841
11-Feb-19,0.02463671,0.02464617,0.02467705,0.0249368,0.02527366,0.02580071,0.02610084,0.02640004,0.02654482,0.02592193,0.02542073,0.02525982,0.02532956,0.02552838,0.02577702,0.02607211,0.02638504,0.02669545,0.02697851,0.02726147,0.02743978,0.0276175,0.02779522,0.02786433,0.02793284,0.02800136,0.02806987,0.02813839,0.0281453,0.02815169,0.02815808,0.02816447,0.02817086,0.02815585,0.02814055,0.02812525,0.02810995,0.02809464,0.02805101,0.02800698,0.02796295,0.02791891,0.02787488,0.02783084,0.02778681,0.02774278,0.02769874,0.02765471
12-Feb-19,0.02483943,0.02473343,0.02474061,0.02495676,0.02523988,0.02582574,0.02613377,0.02643715,0.02662435,0.02607105,0.02557755,0.02541728,0.02549239,0.02571238,0.02596903,0.02626233,0.02658633,0.02689588,0.02717604,0.02745612,0.02762659,0.02779646,0.02796632,0.02803563,0.02810439,0.02817315,0.0282419,0.02831066,0.02831072,0.02831041,0.0283101,0.02830979,0.02830948,0.02829614,0.02828265,0.02826915,0.02825566,0.02824217,0.02819767,0.02815282,0.02810797,0.02806312,0.02801827,0.02797341,0.02792856,0.02788371,0.02783886,0.02779401
13-Feb-19,0.02483943,0.02475083,0.02473451,0.02493262,0.02519452,0.02587576,0.02615714,0.02645821,0.0267495,0.0263804,0.02593495,0.02577196,0.02582459,0.02602578,0.02626909,0.02656233,0.02686873,0.02718405,0.02744886,0.02771347,0.02788375,0.02805272,0.02822168,0.02828737,0.02835251,0.02841765,0.02848279,0.02854793,0.02854955,0.02855081,0.02855207,0.02855334,0.0285546,0.02853688,0.02851899,0.02850111,0.02848322,0.02846534,0.0284207,0.02837584,0.02833098,0.02828612,0.02824126,0.02819641,0.02815155,0.02810669,0.02806183,0.02801697
14-Feb-19,0.02412972,0.0247333,0.02463401,0.0247974,0.02501526,0.02565707,0.02602981,0.02639263,0.0265914,0.02604404,0.02551228,0.02532904,0.02537165,0.02557595,0.02582991,0.02612795,0.02644161,0.02675893,0.0270427,0.0273261,0.02750308,0.02767858,0.02785407,0.02792848,0.0280009,0.02807331,0.02814573,0.02821815,0.02822339,0.02822711,0.02823083,0.02823455,0.02823827,0.02822764,0.02821681,0.02820598,0.02819514,0.02818431,0.02814113,0.02809751,0.02805389,0.02801027,0.02796665,0.02792303,0.02787941,0.02783578,0.02779216,0.02774854
15-Feb-19,0.02433011,0.02443227,0.02451546,0.02470185,0.02495038,0.02557521,0.02599202,0.02638588,0.02661492,0.02618424,0.02571157,0.02551752,0.02554924,0.02572113,0.02594289,0.02620665,0.02650149,0.02680231,0.02707466,0.02734675,0.02751659,0.02768499,0.02785338,0.02792549,0.02799597,0.02806645,0.02813693,0.02820741,0.02821145,0.0282142,0.02821694,0.02821968,0.02822242,0.02820789,0.02819301,0.02817814,0.02816326,0.02814839,0.02810523,0.0280615,0.02801777,0.02797404,0.02793031,0.02788658,0.02784285,0.02779912,0.02775539,0.02771166
